@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V,,,
,,,
@attribute total_fiat numeric,,,
@attribute total_biat numeric,,,
@attribute min_biat numeric,,,
@attribute class1 {TOR,NONTOR},,
,,,
@data,,,
9,17,8942338,NONTOR
354,30,8295949,NONTOR
2,461,28101,NONTOR
2,520,117256,NONTOR
627,437,191824,NONTOR
22663,-1,-1,NONTOR
5,-1,-1,NONTOR
2,1166,2082650,NONTOR
3983,2,910101,NONTOR
5984,2,656213,NONTOR
1280,5702,9156190,NONTOR
2,2165,6200333,NONTOR
2,5985,3229651,NONTOR
2,1410,7395080,NONTOR
2,4,2274979,NONTOR
14,2,582693,NONTOR
1573,2,492339,NONTOR
1396,2,494675,NONTOR
56,2,544145,NONTOR
1686,49777,213381,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
222,-1,-1,NONTOR
37,13,550888,NONTOR
37,13,540617,NONTOR
309,-1,-1,NONTOR
268,-1,-1,NONTOR
37,13,505522,NONTOR
214,-1,-1,NONTOR
36,13,340597,NONTOR
9,13,466642,NONTOR
31,27,49277,NONTOR
6,13,960230,NONTOR
37,13,663121,NONTOR
38,12,607734,NONTOR
4,12,605516,NONTOR
9038,53559,91426,NONTOR
22,12,728236,NONTOR
31,13,332179,NONTOR
0,12,541011,NONTOR
2879,18907,2909217,NONTOR
4,12,517724,NONTOR
1272,4943,56307,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
47,1011,1011,NONTOR
210,1395,1395,NONTOR
61,2450,2450,NONTOR
3,18,1496520,NONTOR
0,174,5359289,NONTOR
-1,199701,199701,NONTOR
394,509,10000468,NONTOR
6185264,241749,6190331,NONTOR
15,0,2519135,NONTOR
103,411,6105357,NONTOR
406499,350525,10001186,NONTOR
91,61,1001007,NONTOR
16,0,101131,NONTOR
16,0,125401,NONTOR
50258,249907,3827265,NONTOR
24,51,2231831,NONTOR
22,38,1001065,NONTOR
401617,400781,4642178,NONTOR
111,372,5914123,NONTOR
452,1038,8029033,NONTOR
62,0,88639,NONTOR
60,1,102488,NONTOR
437701,499643,4597345,NONTOR
2535695,10036889,10036889,NONTOR
2548760,2498645,7503441,NONTOR
2652879,2601924,10006402,NONTOR
59,1,140948,NONTOR
3056984,915505,6102954,NONTOR
3079110,3036106,6953204,NONTOR
-1,-1,-1,NONTOR
174,3,4127959,NONTOR
10006950,3352665,9996866,NONTOR
3351838,3355235,10020512,NONTOR
10052568,3202190,6806563,NONTOR
72,2,4784039,NONTOR
3368,2,10000137,NONTOR
178,10005167,10005167,NONTOR
-1,10047,10047,NONTOR
10008778,1,10005384,NONTOR
130,2,10015014,NONTOR
3918,2,10008708,NONTOR
51695,50105,8432427,NONTOR
209122,127,6570398,NONTOR
68,40,8133608,NONTOR
107,-1,-1,NONTOR
121,-1,-1,NONTOR
125,-1,-1,NONTOR
95,-1,-1,NONTOR
42,168,5083068,NONTOR
29,81,10030950,NONTOR
42,1242,5295826,NONTOR
144,44,5020697,NONTOR
107,32,1065253,NONTOR
1774,62,7253661,NONTOR
2165,133,1049082,NONTOR
959,37,854196,NONTOR
1364,49,865723,NONTOR
-1,-1,-1,NONTOR
172,-1,-1,NONTOR
1627,45,885492,NONTOR
138,-1,-1,NONTOR
1157,148,885299,NONTOR
161184,47565,235465,NONTOR
80,-1,-1,NONTOR
48,-1,-1,NONTOR
109,-1,-1,NONTOR
96,-1,-1,NONTOR
150,-1,-1,NONTOR
77,-1,-1,NONTOR
243,-1,-1,NONTOR
100,-1,-1,NONTOR
1007,29,400480,NONTOR
810,144,280014,NONTOR
3197,58,305252,NONTOR
159,-1,-1,NONTOR
1145,43,306549,NONTOR
145,-1,-1,NONTOR
24280,-1,-1,NONTOR
63,12,319802,NONTOR
68,6,320778,NONTOR
-1,-1,-1,NONTOR
2,2,702553,NONTOR
4,1,9881787,NONTOR
2,1,240739,NONTOR
52,54,36391,NONTOR
5,5,3521726,NONTOR
5,4,3726823,NONTOR
-1,-1,-1,NONTOR
197,250,53107,NONTOR
85,382,52789,NONTOR
94,310,52572,NONTOR
78,149,54295,NONTOR
2,3,6988742,NONTOR
4,3,3974236,NONTOR
6,7,6994078,NONTOR
3,4,30021325,NONTOR
7,36,227642,NONTOR
7,11,4970337,NONTOR
5,3,23667,NONTOR
22,21,40101,NONTOR
4,6,13836845,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
6,2,29529,NONTOR
4,3,1291731,NONTOR
11,10,319338,NONTOR
7869521,-1,-1,NONTOR
-1,-1,-1,NONTOR
4,85,318305,NONTOR
4,53,314019,NONTOR
5,4,534937,NONTOR
15,2,398518,NONTOR
4,3,4161241,NONTOR
3,4,4161402,NONTOR
7,6,3923801,NONTOR
6,3,4321746,NONTOR
7,4,4114424,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
4,3,34765,NONTOR
-1,-1,-1,NONTOR
4,3,313493,NONTOR
3,6,3526208,NONTOR
4,3,2994584,NONTOR
5,4,4148345,NONTOR
4,4,166926,NONTOR
-1,14917674,14917674,NONTOR
4,6,3793033,NONTOR
11,6,128583,NONTOR
5,5,195654,NONTOR
8,4,92632,NONTOR
4,3,446261,NONTOR
18,7,108643,NONTOR
4,4,74173,NONTOR
2,7,2045589,NONTOR
4,6,1181608,NONTOR
5,5,664465,NONTOR
82,38859,483259,NONTOR
177,71781,482048,NONTOR
949,57,29698,NONTOR
35,78,34166,NONTOR
404,60,42161,NONTOR
18846,-1,-1,NONTOR
58,9,139508,NONTOR
69,26,158818,NONTOR
48,39,152657,NONTOR
130,29,151949,NONTOR
62,25,183293,NONTOR
77,24,175449,NONTOR
101,30,196162,NONTOR
61,29,182177,NONTOR
46,38,125492,NONTOR
960304,959574,964880,NONTOR
151,2,24797,NONTOR
960581,960025,964289,NONTOR
96,2,45830,NONTOR
187,549,25086,NONTOR
299,838,26245,NONTOR
151,2,34578,NONTOR
960418,960146,964464,NONTOR
959282,958879,964382,NONTOR
145,2,36918,NONTOR
960048,959753,963633,NONTOR
960165,959809,963118,NONTOR
121,3,43661,NONTOR
960297,960277,963324,NONTOR
187,2,44504,NONTOR
959965,959788,962859,NONTOR
137,3,44793,NONTOR
858,5,37066,NONTOR
96,3,23176,NONTOR
131,2,36487,NONTOR
119,4,23503,NONTOR
107,3,38319,NONTOR
108,5,25789,NONTOR
959358,958920,963843,NONTOR
169,2,25089,NONTOR
123,2,23979,NONTOR
960099,959722,965690,NONTOR
959919,960065,963314,NONTOR
136,3,45889,NONTOR
115,2,43035,NONTOR
214,2,25109,NONTOR
959126,958910,963963,NONTOR
221,2,23951,NONTOR
960220,959940,964083,NONTOR
115,781,24828,NONTOR
959417,958287,963039,NONTOR
960119,960167,963275,NONTOR
116,866,28613,NONTOR
960370,960508,966164,NONTOR
716,6,23296,NONTOR
140,4,22631,NONTOR
959493,958276,964778,NONTOR
123,345,24526,NONTOR
960932,960785,964855,NONTOR
960782,960664,963002,NONTOR
116,244,24582,NONTOR
960840,960682,963888,NONTOR
959680,959405,965895,NONTOR
959864,959057,966817,NONTOR
960703,960898,966099,NONTOR
960327,960011,964855,NONTOR
194,1,28338,NONTOR
960413,959944,963901,NONTOR
123,3,29854,NONTOR
126,4,38967,NONTOR
146,2,43550,NONTOR
187,2,27816,NONTOR
217,497,24089,NONTOR
120,3,27323,NONTOR
153,3,45212,NONTOR
959915,959052,962731,NONTOR
114,466,23917,NONTOR
184,2,32905,NONTOR
147,2,25292,NONTOR
960039,958072,965683,NONTOR
960926,959004,966771,NONTOR
959925,960018,962752,NONTOR
139,2,24797,NONTOR
960431,959849,963794,NONTOR
150,2,23772,NONTOR
124,2,25269,NONTOR
101,3,24549,NONTOR
225,509,24661,NONTOR
960220,960086,963288,NONTOR
113,5,23314,NONTOR
960382,960358,962518,NONTOR
960229,960164,963025,NONTOR
112,2,25078,NONTOR
255,2,919979,NONTOR
960181,960091,962909,NONTOR
959981,960130,964957,NONTOR
113,3,34253,NONTOR
960630,960180,963680,NONTOR
959770,959770,963779,NONTOR
960036,959706,963112,NONTOR
959816,959567,963457,NONTOR
792,8,31582,NONTOR
960177,959827,962889,NONTOR
960354,959912,963885,NONTOR
960526,959930,963149,NONTOR
959447,958630,964025,NONTOR
960193,959882,964939,NONTOR
118,2,45887,NONTOR
960357,959963,963809,NONTOR
960798,960061,962738,NONTOR
147,384,26329,NONTOR
115,3,24087,NONTOR
960202,959852,964152,NONTOR
959652,958248,962984,NONTOR
149,3,43681,NONTOR
960077,959672,965000,NONTOR
4,572,121090,NONTOR
5,18,151139,NONTOR
30,8,150910,NONTOR
10,48,122306,NONTOR
13,266,151669,NONTOR
19,8,43835,NONTOR
207,14,50507,NONTOR
20,3,40689,NONTOR
23,5,62562,NONTOR
33,10,97109,NONTOR
205,3,51223,NONTOR
19,8,41967,NONTOR
28,14,40233,NONTOR
10,10,54491,NONTOR
1035,23,59664,NONTOR
5117,15505,25112,NONTOR
5468,15568,25251,NONTOR
5544,12640,25485,NONTOR
5628,15714,24354,NONTOR
5613,12536,24574,NONTOR
5531,15734,24730,NONTOR
5678,15704,25487,NONTOR
5590,15718,24705,NONTOR
5613,15552,24539,NONTOR
5942,15714,26164,NONTOR
5674,15540,24542,NONTOR
5691,15707,24627,NONTOR
5971,15592,25433,NONTOR
5994,15675,25880,NONTOR
5670,12682,26217,NONTOR
5636,15625,25093,NONTOR
5729,15719,24350,NONTOR
5665,15724,24624,NONTOR
5700,15731,24749,NONTOR
5458,15726,24701,NONTOR
5316,15657,25469,NONTOR
5586,15565,26191,NONTOR
5978,15607,24837,NONTOR
5093,15146,24621,NONTOR
5672,15604,24951,NONTOR
5636,15721,24913,NONTOR
5722,15691,25367,NONTOR
5684,14317,24722,NONTOR
5545,15715,24677,NONTOR
5612,15618,24569,NONTOR
5673,15499,25785,NONTOR
5910,15719,24687,NONTOR
5328,15666,24236,NONTOR
123512,140778,862227,NONTOR
1,72,25804,NONTOR
1,59,24266,NONTOR
59,183,28136,NONTOR
21,140,27081,NONTOR
59,181,25145,NONTOR
42,188,27153,NONTOR
59,103,26477,NONTOR
22,49,1030102,NONTOR
57,215,26891,NONTOR
55,55,30017,NONTOR
27,209,24670,NONTOR
56,169,28979,NONTOR
56,113,22715,NONTOR
54,202,23266,NONTOR
41,166,29226,NONTOR
54,320,27619,NONTOR
0,98,38981,NONTOR
114,1,45406,NONTOR
138,2,39326,NONTOR
174,4,44456,NONTOR
289,3,38148,NONTOR
154,2,42088,NONTOR
167,2,51416,NONTOR
171,2,57665,NONTOR
179,2,37274,NONTOR
120,3,42672,NONTOR
116,2,41268,NONTOR
158,2,39418,NONTOR
107,2,43488,NONTOR
161,1,42069,NONTOR
121,2,40788,NONTOR
200,1,28787,NONTOR
110,3,31352,NONTOR
97,2,42767,NONTOR
83,2,42289,NONTOR
83,2,41594,NONTOR
143,2,36213,NONTOR
160,2,40493,NONTOR
164,1,43041,NONTOR
139,1,26535,NONTOR
122,2,27461,NONTOR
174,2,42657,NONTOR
132,2,39137,NONTOR
110,2,41828,NONTOR
193,1,42327,NONTOR
119,2,34504,NONTOR
130,1,41084,NONTOR
159,2,28352,NONTOR
126,2,40713,NONTOR
117,1,39456,NONTOR
143,2,41896,NONTOR
116,2,26940,NONTOR
136,2,39910,NONTOR
157,2,37926,NONTOR
125,3,35449,NONTOR
159,2,26417,NONTOR
143,2,32693,NONTOR
92,2,41892,NONTOR
139,2,42341,NONTOR
101,3,41976,NONTOR
151,2,31795,NONTOR
235912,39,25184,NONTOR
15198,5616,25652,NONTOR
14780,5622,24585,NONTOR
15192,5682,24308,NONTOR
15160,5674,24548,NONTOR
15336,5674,24281,NONTOR
15051,5772,24462,NONTOR
15018,5677,24913,NONTOR
15285,6001,25236,NONTOR
12210,5675,24412,NONTOR
15461,5680,24426,NONTOR
14497,5676,24699,NONTOR
10945,5673,24924,NONTOR
15668,5968,24605,NONTOR
14467,6623,24498,NONTOR
14606,6005,24314,NONTOR
15472,5681,24612,NONTOR
14586,5706,24729,NONTOR
14228,5985,24693,NONTOR
15332,5675,24536,NONTOR
14980,5683,24513,NONTOR
14538,5976,24600,NONTOR
15063,5682,24431,NONTOR
13949,5671,24996,NONTOR
15291,5672,25338,NONTOR
14903,5727,24786,NONTOR
14475,5688,25243,NONTOR
494,26,32629,NONTOR
39,70,483308,NONTOR
178,79,30171,NONTOR
93,167,41829,NONTOR
74,5623,486481,NONTOR
103,5784,25136,NONTOR
65,5658,26060,NONTOR
116,5922,25065,NONTOR
114,5936,25728,NONTOR
244,5950,24568,NONTOR
1511,5944,24165,NONTOR
59,5955,25069,NONTOR
91,5937,24198,NONTOR
87,5904,24205,NONTOR
100,5900,24184,NONTOR
105,5963,25049,NONTOR
3839,5945,25088,NONTOR
135,5972,24248,NONTOR
119,5930,24890,NONTOR
4358,5906,24239,NONTOR
3179,5962,25744,NONTOR
100,5922,24557,NONTOR
120,5874,25211,NONTOR
114,5884,27545,NONTOR
490,5945,25306,NONTOR
92,5869,25060,NONTOR
100,5940,25389,NONTOR
595,5949,25095,NONTOR
92,5903,25372,NONTOR
221,5927,25201,NONTOR
105,5934,24384,NONTOR
5925,5943,25412,NONTOR
2184,5969,24700,NONTOR
1130,5983,25330,NONTOR
111,5947,24396,NONTOR
2589,5876,24197,NONTOR
86,5844,24239,NONTOR
12243,99,70727,NONTOR
15640,95,91520,NONTOR
15570,86,188073,NONTOR
15550,2137,62429,NONTOR
15630,89,97265,NONTOR
15628,51,123003,NONTOR
15573,54,259209,NONTOR
15529,57,214070,NONTOR
15691,1251,30134,NONTOR
15581,4894,41444,NONTOR
15662,59,86250,NONTOR
15686,53,68286,NONTOR
15539,3653,50609,NONTOR
15546,99,124527,NONTOR
15670,-1,-1,NONTOR
15585,98,67318,NONTOR
15684,53,76326,NONTOR
15513,99,65099,NONTOR
15562,2009,32269,NONTOR
15704,5627,40120,NONTOR
15711,74,82313,NONTOR
15679,56,66844,NONTOR
15530,1815,43275,NONTOR
15596,1940,52000,NONTOR
15523,297,71011,NONTOR
15627,196,1034196,NONTOR
15645,80,86428,NONTOR
15608,671,80435,NONTOR
15685,210,133297,NONTOR
15651,943,59111,NONTOR
15577,103,99770,NONTOR
15678,82,50281,NONTOR
15571,3552,64421,NONTOR
15704,343,46273,NONTOR
15603,1447,57086,NONTOR
15547,94,95937,NONTOR
50,488,25593,NONTOR
30,71,25463,NONTOR
49,490,25485,NONTOR
220,116,25536,NONTOR
44,147,25336,NONTOR
17,14761,482668,NONTOR
18980,-1,-1,NONTOR
329885,125476,125476,NONTOR
74,126,22969,NONTOR
70,164,29226,NONTOR
66,128,27376,NONTOR
72,197,29303,NONTOR
71,0,24289,NONTOR
71,206,23004,NONTOR
101174,100576,501549,NONTOR
64,14,104164,NONTOR
76,29,151100,NONTOR
76,15,189853,NONTOR
85,17,124190,NONTOR
57,8,181243,NONTOR
2394,32,163432,NONTOR
162,25,154003,NONTOR
79,5442,484940,NONTOR
87,17,25228,NONTOR
139,40,26559,NONTOR
60,40,26044,NONTOR
90,21166,483345,NONTOR
41,57884,482161,NONTOR
65,138,26872,NONTOR
252,37,26957,NONTOR
63,3977,483386,NONTOR
70,10851,487312,NONTOR
141,34,25755,NONTOR
58,2083,484358,NONTOR
60,44,25952,NONTOR
76,80945,484661,NONTOR
18085,-1,-1,NONTOR
57378,57265,85659,NONTOR
70,198,25507,NONTOR
158,139,26172,NONTOR
68,1,27065,NONTOR
74,1,27267,NONTOR
400609,200451,200451,NONTOR
1392,40153,6136317,NONTOR
200273,200191,5591580,NONTOR
199460,199496,9075619,NONTOR
235,37560,1453144,NONTOR
146762,146764,2299454,NONTOR
197,165,4448704,NONTOR
199952,199987,5568478,NONTOR
1416,5577,6288114,NONTOR
34323,85384,4746416,NONTOR
31553,31535,1558706,NONTOR
26141,26150,1674638,NONTOR
24155,24086,1759547,NONTOR
24980,25052,1883641,NONTOR
33157,33149,1916584,NONTOR
30655,30636,2005667,NONTOR
31743,31736,2009075,NONTOR
29631,29614,2007813,NONTOR
20387,20275,1633013,NONTOR
-1,-1,-1,NONTOR
29,43,7204879,NONTOR
28,39,843286,NONTOR
18,27,5972788,NONTOR
30,31,6019457,NONTOR
23,28,3905915,NONTOR
25,27,5350542,NONTOR
26,26,5430942,NONTOR
28,27,3335536,NONTOR
27,26,2255370,NONTOR
26,27,5122199,NONTOR
26,26,6890986,NONTOR
26,25,4122399,NONTOR
27,27,3543126,NONTOR
17,71,71,NONTOR
134465,76,76,NONTOR
121,-1,-1,NONTOR
-1,27,51,NONTOR
51,29,10942973,NONTOR
49,21,1689154,NONTOR
3,24,5047714,NONTOR
29,-1,-1,NONTOR
3,1,4567077,NONTOR
124184,-1,-1,NONTOR
52,21,7305845,NONTOR
49,18,4603870,NONTOR
0,20,2264824,NONTOR
48,18,891198,NONTOR
3,21,4301586,NONTOR
1401,-1,-1,NONTOR
855,-1,-1,NONTOR
48,20,4893894,NONTOR
840,34,131782,NONTOR
-1,60,378,NONTOR
49,20,2510455,NONTOR
57,18,2809450,NONTOR
41,19,3007226,NONTOR
-1,61,321,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
32141,32915,8576379,NONTOR
4506,8579,1608308,NONTOR
751,755,2303897,NONTOR
32912,24375,2079836,NONTOR
75301,24038,2157921,NONTOR
7681,7677,2392783,NONTOR
31358,3522,2363040,NONTOR
24476,35277,1743610,NONTOR
20817,28922,1923779,NONTOR
4827,8642,1965024,NONTOR
22100,22102,1941157,NONTOR
36299,36296,2391081,NONTOR
211982,211983,2011320,NONTOR
208982,208985,2005294,NONTOR
210989,210985,2014604,NONTOR
210276,210265,2009803,NONTOR
32500,32496,2188949,NONTOR
206008,206008,2010012,NONTOR
199,23,305254,NONTOR
34,18,265404,NONTOR
423,45,137679,NONTOR
-1,41,41,NONTOR
14,-1,-1,NONTOR
1234,50,141100,NONTOR
32,25,708756,NONTOR
3,19,13088200,NONTOR
3,20,130672,NONTOR
3,30,129349,NONTOR
3,19,9642386,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
44,22,3352041,NONTOR
42,0,3760016,NONTOR
43,21,4086148,NONTOR
29,20,6429555,NONTOR
43,3,9526104,NONTOR
27,21,5492963,NONTOR
41,33,5766753,NONTOR
28,21,5325192,NONTOR
24,21,2001827,NONTOR
29,23,8752518,NONTOR
42,19,6659647,NONTOR
44,174,6854231,NONTOR
270973,-1,-1,NONTOR
139243,202,13224068,NONTOR
1907,281821,343565,NONTOR
268178,50,268136,NONTOR
70,4655,9365167,NONTOR
135197,174,9022587,NONTOR
97,199,6284340,NONTOR
823,73,354855,NONTOR
167,14166,2790015,NONTOR
63874,142941,3119436,NONTOR
268724,7041206,7041206,NONTOR
73,203,4089420,NONTOR
268421,32,268404,NONTOR
25,24,4857206,NONTOR
18,26,4375626,NONTOR
56,99554,13904942,NONTOR
208,134283,5161861,NONTOR
117,133858,3251113,NONTOR
152,140568,8170328,NONTOR
327,138881,3276962,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
220036,219520,219520,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
220001,217206,217206,NONTOR
-1,-1,-1,NONTOR
140783,486,4106357,NONTOR
138951,386,5033513,NONTOR
137138,243,925412,NONTOR
275736,138,7740452,NONTOR
34,20,3327070,NONTOR
132,24,13159906,NONTOR
299,25,5151628,NONTOR
101923,101946,4267006,NONTOR
1947,210672,6215108,NONTOR
175815,408,903056,NONTOR
131,21,3412384,NONTOR
139417,1192,5142769,NONTOR
499,20,4313055,NONTOR
139236,251,3852478,NONTOR
304350,361860,6143533,NONTOR
11559,41,13620735,NONTOR
139916,542,2342185,NONTOR
70213,37,9588727,NONTOR
214,276,5819478,NONTOR
143395,1106,8760560,NONTOR
1084,33,3050503,NONTOR
5165,46,3717529,NONTOR
140476,450,2271641,NONTOR
-1,-1,-1,NONTOR
10876,101,9283185,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
31277,1293,2186014,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
977,1010,5047613,NONTOR
-1,-1,-1,NONTOR
503,521,7358223,NONTOR
-1,-1,-1,NONTOR
206739,206746,6542005,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
7,26,7556987,NONTOR
4,27,2281085,NONTOR
8,28,1923802,NONTOR
4,28,1888365,NONTOR
4,27,1202101,NONTOR
6,27,1478473,NONTOR
7,29,3748618,NONTOR
3,30,1160871,NONTOR
11,80,2448795,NONTOR
4,29,2312274,NONTOR
83,0,2637655,NONTOR
24,0,1314468,NONTOR
24,0,931860,NONTOR
43,0,2282628,NONTOR
41,0,1202228,NONTOR
43,0,2021614,NONTOR
75,0,2447530,NONTOR
41,0,2352510,NONTOR
61,1,2563070,NONTOR
122,32,281416,NONTOR
-1,-1,-1,NONTOR
13,0,805185,NONTOR
110931,-1,-1,NONTOR
-1,-1,-1,NONTOR
7,23,509857,NONTOR
0,0,338547,NONTOR
32,24,444771,NONTOR
0,0,320967,NONTOR
31,18,762660,NONTOR
-1,-1,-1,NONTOR
275208,-1,-1,NONTOR
533,7610,998575,NONTOR
0,0,300849,NONTOR
23,18,774775,NONTOR
79197,-1,-1,NONTOR
-1,-1,-1,NONTOR
-1,-1,-1,NONTOR
0,0,278137,NONTOR
0,0,952014,NONTOR
855293,-1,-1,NONTOR
31,0,718161,NONTOR
87463,-1,-1,NONTOR
0,0,590505,NONTOR
-1,-1,-1,NONTOR
9,19,354265,NONTOR
0,0,717719,NONTOR
40893,-1,-1,NONTOR
-1,-1,-1,NONTOR
23,17,293978,NONTOR
0,0,595284,NONTOR
0,0,721775,NONTOR
