@relation <ISCXFlowMeter-generated-flows>-weka.filters.unsupervised.instance.Resample-S1-Z85.0-no-replacement-V,,,,
,,,,
@attribute total_fiat numeric,,,,
@attribute total_biat numeric,,,,
@attribute min_fiat numeric,,,,
@attribute min_biat numeric,,,,
@attribute class1 {TOR,NONTOR},,,
,,,,
@data,,,,
960418,960146,964215,964464,NONTOR
959282,958879,964467,964382,NONTOR
145,2,44023,36918,NONTOR
960048,959753,963377,963633,NONTOR
960165,959809,963164,963118,NONTOR
121,3,39572,43661,NONTOR
960297,960277,963493,963324,NONTOR
187,2,36836,44504,NONTOR
959965,959788,962323,962859,NONTOR
137,3,44931,44793,NONTOR
858,5,38256,37066,NONTOR
96,3,39614,23176,NONTOR
131,2,43162,36487,NONTOR
119,4,37001,23503,NONTOR
107,3,37418,38319,NONTOR
108,5,36524,25789,NONTOR
959358,958920,963437,963843,NONTOR
169,2,37839,25089,NONTOR
123,2,37226,23979,NONTOR
960099,959722,964802,965690,NONTOR
959919,960065,963296,963314,NONTOR
136,3,38756,45889,NONTOR
115,2,37725,43035,NONTOR
214,2,38823,25109,NONTOR
959126,958910,963694,963963,NONTOR
221,2,36168,23951,NONTOR
960220,959940,963609,964083,NONTOR
115,781,36269,24828,NONTOR
959417,958287,962890,963039,NONTOR
960119,960167,962604,963275,NONTOR
116,866,39217,28613,NONTOR
960370,960508,966337,966164,NONTOR
716,6,38178,23296,NONTOR
140,4,36336,22631,NONTOR
959493,958276,963619,964778,NONTOR
123,345,37883,24526,NONTOR
960932,960785,964898,964855,NONTOR
960782,960664,963000,963002,NONTOR
116,244,38447,24582,NONTOR
960840,960682,963080,963888,NONTOR
959680,959405,964345,965895,NONTOR
959864,959057,966166,966817,NONTOR
960703,960898,966005,966099,NONTOR
960327,960011,964123,964855,NONTOR
194,1,40701,28338,NONTOR
960413,959944,963918,963901,NONTOR
123,3,39245,29854,NONTOR
126,4,41744,38967,NONTOR
146,2,36586,43550,NONTOR
187,2,39284,27816,NONTOR
217,497,39029,24089,NONTOR
120,3,38834,27323,NONTOR
153,3,36528,45212,NONTOR
959915,959052,962734,962731,NONTOR
114,466,36422,23917,NONTOR
184,2,37049,32905,NONTOR
147,2,37320,25292,NONTOR
960039,958072,962733,965683,NONTOR
960926,959004,966493,966771,NONTOR
959925,960018,962698,962752,NONTOR
139,2,36548,24797,NONTOR
960431,959849,962606,963794,NONTOR
150,2,38997,23772,NONTOR
124,2,36453,25269,NONTOR
101,3,36790,24549,NONTOR
225,509,38240,24661,NONTOR
960220,960086,963044,963288,NONTOR
113,5,35563,23314,NONTOR
960382,960358,962315,962518,NONTOR
960229,960164,962955,963025,NONTOR
112,2,38218,25078,NONTOR
255,2,37029,919979,NONTOR
960181,960091,962757,962909,NONTOR
959981,960130,963538,964957,NONTOR
113,3,37281,34253,NONTOR
960630,960180,963617,963680,NONTOR
959770,959770,962600,963779,NONTOR
960036,959706,963007,963112,NONTOR
959816,959567,962388,963457,NONTOR
792,8,38028,31582,NONTOR
960177,959827,962136,962889,NONTOR
960354,959912,963495,963885,NONTOR
960526,959930,962252,963149,NONTOR
959447,958630,963015,964025,NONTOR
960193,959882,964671,964939,NONTOR
118,2,36732,45887,NONTOR
960357,959963,963701,963809,NONTOR
960798,960061,962029,962738,NONTOR
147,384,36482,26329,NONTOR
115,3,37577,24087,NONTOR
960202,959852,963708,964152,NONTOR
959652,958248,962651,962984,NONTOR
149,3,41084,43681,NONTOR
960077,959672,965185,965000,NONTOR
4,572,45088,121090,NONTOR
5,18,40595,151139,NONTOR
30,8,40611,150910,NONTOR
10,48,44790,122306,NONTOR
13,266,44425,151669,NONTOR
19,8,119963,43835,NONTOR
207,14,151397,50507,NONTOR
20,3,123249,40689,NONTOR
23,5,120618,62562,NONTOR
33,10,151336,97109,NONTOR
205,3,218804,51223,NONTOR
19,8,179305,41967,NONTOR
28,14,121929,40233,NONTOR
10,10,180100,54491,NONTOR
1035,23,149558,59664,NONTOR
5117,15505,24474,25112,NONTOR
5468,15568,24574,25251,NONTOR
5544,12640,26444,25485,NONTOR
5628,15714,24639,24354,NONTOR
5613,12536,24618,24574,NONTOR
5531,15734,24397,24730,NONTOR
5678,15704,24563,25487,NONTOR
5590,15718,24620,24705,NONTOR
5613,15552,24544,24539,NONTOR
5942,15714,25241,26164,NONTOR
5674,15540,25109,24542,NONTOR
5691,15707,24505,24627,NONTOR
5971,15592,25133,25433,NONTOR
5994,15675,24622,25880,NONTOR
5670,12682,24596,26217,NONTOR
5636,15625,24824,25093,NONTOR
5729,15719,25017,24350,NONTOR
5665,15724,24900,24624,NONTOR
5700,15731,24719,24749,NONTOR
5458,15726,25005,24701,NONTOR
5316,15657,24635,25469,NONTOR
5586,15565,25200,26191,NONTOR
5978,15607,25005,24837,NONTOR
5093,15146,24744,24621,NONTOR
5672,15604,24893,24951,NONTOR
5636,15721,24760,24913,NONTOR
5722,15691,24622,25367,NONTOR
5684,14317,25273,24722,NONTOR
5545,15715,26236,24677,NONTOR
5612,15618,24446,24569,NONTOR
5673,15499,24854,25785,NONTOR
5910,15719,24745,24687,NONTOR
5328,15666,24508,24236,NONTOR
123512,140778,875522,862227,NONTOR
1,72,26870,25804,NONTOR
1,59,25280,24266,NONTOR
59,183,30109,28136,NONTOR
21,140,21558,27081,NONTOR
59,181,21477,25145,NONTOR
42,188,20866,27153,NONTOR
59,103,20861,26477,NONTOR
22,49,1029723,1030102,NONTOR
57,215,21368,26891,NONTOR
55,55,21496,30017,NONTOR
27,209,30049,24670,NONTOR
56,169,21044,28979,NONTOR
56,113,21140,22715,NONTOR
54,202,21049,23266,NONTOR
41,166,21338,29226,NONTOR
54,320,21142,27619,NONTOR
0,98,42390,38981,NONTOR
114,1,98674,45406,NONTOR
138,2,54738,39326,NONTOR
174,4,44830,44456,NONTOR
289,3,45477,38148,NONTOR
154,2,38717,42088,NONTOR
167,2,38578,51416,NONTOR
171,2,35789,57665,NONTOR
179,2,37417,37274,NONTOR
120,3,37377,42672,NONTOR
116,2,41194,41268,NONTOR
158,2,35600,39418,NONTOR
107,2,40449,43488,NONTOR
161,1,37070,42069,NONTOR
121,2,37382,40788,NONTOR
200,1,38391,28787,NONTOR
110,3,36486,31352,NONTOR
97,2,36338,42767,NONTOR
83,2,37161,42289,NONTOR
83,2,41522,41594,NONTOR
143,2,37783,36213,NONTOR
160,2,37912,40493,NONTOR
164,1,37622,43041,NONTOR
139,1,35922,26535,NONTOR
122,2,38227,27461,NONTOR
174,2,37576,42657,NONTOR
132,2,35143,39137,NONTOR
110,2,39011,41828,NONTOR
193,1,36237,42327,NONTOR
119,2,37008,34504,NONTOR
130,1,36694,41084,NONTOR
159,2,38691,28352,NONTOR
126,2,36498,40713,NONTOR
117,1,36303,39456,NONTOR
143,2,40972,41896,NONTOR
116,2,35952,26940,NONTOR
136,2,40912,39910,NONTOR
157,2,37026,37926,NONTOR
125,3,38075,35449,NONTOR
159,2,36745,26417,NONTOR
143,2,37155,32693,NONTOR
92,2,38180,41892,NONTOR
139,2,40506,42341,NONTOR
101,3,37891,41976,NONTOR
151,2,37643,31795,NONTOR
235912,39,251019,25184,NONTOR
15198,5616,25374,25652,NONTOR
14780,5622,25246,24585,NONTOR
15192,5682,26038,24308,NONTOR
15160,5674,24955,24548,NONTOR
15336,5674,25787,24281,NONTOR
15051,5772,25683,24462,NONTOR
15018,5677,24801,24913,NONTOR
15285,6001,24908,25236,NONTOR
12210,5675,25949,24412,NONTOR
15461,5680,26653,24426,NONTOR
14497,5676,25519,24699,NONTOR
10945,5673,27864,24924,NONTOR
15668,5968,26424,24605,NONTOR
14467,6623,24738,24498,NONTOR
14606,6005,25238,24314,NONTOR
15472,5681,25463,24612,NONTOR
14586,5706,25443,24729,NONTOR
14228,5985,25458,24693,NONTOR
15332,5675,24674,24536,NONTOR
14980,5683,25307,24513,NONTOR
14538,5976,24905,24600,NONTOR
15063,5682,25424,24431,NONTOR
13949,5671,24972,24996,NONTOR
15291,5672,25357,25338,NONTOR
14903,5727,26249,24786,NONTOR
14475,5688,25363,25243,NONTOR
494,26,25627,32629,NONTOR
39,70,86575,483308,NONTOR
178,79,25122,30171,NONTOR
93,167,24568,41829,NONTOR
74,5623,79589,486481,NONTOR
103,5784,83000,25136,NONTOR
65,5658,75997,26060,NONTOR
116,5922,74429,25065,NONTOR
114,5936,106146,25728,NONTOR
244,5950,44788,24568,NONTOR
1511,5944,49202,24165,NONTOR
59,5955,71555,25069,NONTOR
91,5937,66410,24198,NONTOR
87,5904,184461,24205,NONTOR
100,5900,62017,24184,NONTOR
105,5963,69018,25049,NONTOR
3839,5945,33587,25088,NONTOR
135,5972,73891,24248,NONTOR
119,5930,79963,24890,NONTOR
4358,5906,40060,24239,NONTOR
3179,5962,40927,25744,NONTOR
100,5922,77795,24557,NONTOR
120,5874,76905,25211,NONTOR
114,5884,74056,27545,NONTOR
490,5945,66413,25306,NONTOR
92,5869,71781,25060,NONTOR
100,5940,82100,25389,NONTOR
595,5949,78974,25095,NONTOR
92,5903,76128,25372,NONTOR
221,5927,50330,25201,NONTOR
105,5934,96565,24384,NONTOR
5925,5943,45057,25412,NONTOR
2184,5969,36781,24700,NONTOR
1130,5983,43404,25330,NONTOR
111,5947,70779,24396,NONTOR
2589,5876,75979,24197,NONTOR
86,5844,70819,24239,NONTOR
12243,99,24693,70727,NONTOR
15640,95,25405,91520,NONTOR
15570,86,26134,188073,NONTOR
15550,2137,25389,62429,NONTOR
15630,89,25783,97265,NONTOR
15628,51,24605,123003,NONTOR
15573,54,26058,259209,NONTOR
15529,57,24550,214070,NONTOR
15691,1251,25234,30134,NONTOR
15581,4894,24707,41444,NONTOR
15662,59,25953,86250,NONTOR
15686,53,26074,68286,NONTOR
15539,3653,24674,50609,NONTOR
15546,99,26149,124527,NONTOR
15670,-1,24639,-1,NONTOR
15585,98,25648,67318,NONTOR
15684,53,25277,76326,NONTOR
15513,99,25149,65099,NONTOR
15562,2009,24990,32269,NONTOR
15704,5627,26015,40120,NONTOR
15711,74,25565,82313,NONTOR
15679,56,24516,66844,NONTOR
15530,1815,24450,43275,NONTOR
15596,1940,25402,52000,NONTOR
15523,297,24704,71011,NONTOR
15627,196,25131,1034196,NONTOR
15645,80,26326,86428,NONTOR
15608,671,27061,80435,NONTOR
15685,210,24719,133297,NONTOR
15651,943,24646,59111,NONTOR
15577,103,25526,99770,NONTOR
15678,82,24703,50281,NONTOR
15571,3552,25182,64421,NONTOR
15704,343,24717,46273,NONTOR
15603,1447,24530,57086,NONTOR
15547,94,25792,95937,NONTOR
50,488,54850,25593,NONTOR
30,71,27367,25463,NONTOR
49,490,29135,25485,NONTOR
220,116,35760,25536,NONTOR
44,147,32225,25336,NONTOR
17,14761,70623,482668,NONTOR
18980,-1,20178,-1,NONTOR
329885,125476,329885,125476,NONTOR
74,126,21050,22969,NONTOR
70,164,21367,29226,NONTOR
66,128,21131,27376,NONTOR
72,197,21083,29303,NONTOR
71,0,21254,24289,NONTOR
71,206,21141,23004,NONTOR
101174,100576,101174,501549,NONTOR
64,14,26351,104164,NONTOR
76,29,30246,151100,NONTOR
76,15,22896,189853,NONTOR
85,17,22834,124190,NONTOR
57,8,22043,181243,NONTOR
2394,32,22453,163432,NONTOR
162,25,21744,154003,NONTOR
79,5442,67797,484940,NONTOR
87,17,30448,25228,NONTOR
139,40,27345,26559,NONTOR
60,40,27265,26044,NONTOR
90,21166,100630,483345,NONTOR
41,57884,68493,482161,NONTOR
65,138,37993,26872,NONTOR
252,37,35776,26957,NONTOR
63,3977,71990,483386,NONTOR
70,10851,77672,487312,NONTOR
141,34,30255,25755,NONTOR
58,2083,90817,484358,NONTOR
60,44,27581,25952,NONTOR
76,80945,68852,484661,NONTOR
18085,-1,21524,-1,NONTOR
57378,57265,282041,85659,NONTOR
70,198,20957,25507,NONTOR
158,139,29708,26172,NONTOR
68,1,21559,27065,NONTOR
74,1,21014,27267,NONTOR
400609,200451,400609,200451,NONTOR
1392,40153,6138030,6136317,NONTOR
200273,200191,5797648,5591580,NONTOR
199460,199496,9282209,9075619,NONTOR
235,37560,8612985,1453144,NONTOR
146762,146764,2299467,2299454,NONTOR
197,165,4674611,4448704,NONTOR
199952,199987,5568451,5568478,NONTOR
1416,5577,6081049,6288114,NONTOR
34323,85384,4651294,4746416,NONTOR
31553,31535,1740053,1558706,NONTOR
26141,26150,1859618,1674638,NONTOR
24155,24086,1940143,1759547,NONTOR
24980,25052,1962045,1883641,NONTOR
33157,33149,1922580,1916584,NONTOR
30655,30636,2004596,2005667,NONTOR
31743,31736,2008527,2009075,NONTOR
29631,29614,2005967,2007813,NONTOR
20387,20275,1813506,1633013,NONTOR
-1,-1,-1,-1,NONTOR
29,43,7474292,7204879,NONTOR
28,39,1074000,843286,NONTOR
18,27,6241347,5972788,NONTOR
30,31,6286936,6019457,NONTOR
23,28,3943593,3905915,NONTOR
25,27,5618518,5350542,NONTOR
26,26,5468717,5430942,NONTOR
28,27,3335752,3335536,NONTOR
27,26,2524601,2255370,NONTOR
26,27,5158305,5122199,NONTOR
26,26,7118931,6890986,NONTOR
26,25,4165754,4122399,NONTOR
27,27,3809834,3543126,NONTOR
17,71,128063,71,NONTOR
134465,76,134465,76,NONTOR
121,-1,493,-1,NONTOR
-1,27,-1,51,NONTOR
51,29,10942914,10942973,NONTOR
49,21,1687905,1689154,NONTOR
3,24,5044784,5047714,NONTOR
29,-1,275,-1,NONTOR
3,1,4611182,4567077,NONTOR
124184,-1,124184,-1,NONTOR
52,21,7307207,7305845,NONTOR
49,18,4602392,4603870,NONTOR
0,20,2264925,2264824,NONTOR
